nazwa,marka,cena_zakupu,cena_sprzedazy,data_sprzedazy,status
Sukienka letnia w kwiaty,Zara,25.00,55.00,2024-01-05,sprzedane
Jeansy slim fit,Levi's,80.00,130.00,2024-01-10,sprzedane
Bluza oversize,H&M,20.00,40.00,2024-01-15,sprzedane
Kurtka skórzana,Reserved,60.00,110.00,,niesprzedane
Torebka crossbody,Zara,45.00,90.00,2024-01-20,sprzedane
Sweter z wełny,Mango,35.00,65.00,2024-02-01,sprzedane
Spodnie dresowe,Nike,50.00,85.00,2024-02-05,sprzedane
Koszula w kratę,H&M,15.00,30.00,,niesprzedane
Sneakersy białe,Adidas,90.00,150.00,2024-02-10,sprzedane
Płaszcz wełniany,Reserved,75.00,140.00,2024-02-14,sprzedane
Bluzka z jedwabiu,Mango,30.00,60.00,2024-02-20,sprzedane
Szorty jeansowe,Levi's,25.00,55.00,,niesprzedane
T-shirt graficzny,Zara,12.00,28.00,2024-03-01,sprzedane
Sukienka wieczorowa,Mango,70.00,130.00,2024-03-05,sprzedane
Kardigan wełniany,H&M,22.00,45.00,2024-03-10,sprzedane
Spodnie cygaretki,Reserved,40.00,70.00,,niesprzedane
Torebka skórzana,Zara,55.00,110.00,2024-03-15,sprzedane
Bluza z kapturem,Nike,45.00,80.00,2024-03-18,sprzedane
Kurtka dżinsowa,Levi's,60.00,115.00,2024-03-22,sprzedane
Sukienka midi,Mango,50.00,95.00,,niesprzedane
Polo męskie,Adidas,35.00,60.00,2024-04-01,sprzedane
Kombinezon letni,Zara,40.00,75.00,2024-04-05,sprzedane
Trencz beżowy,Reserved,85.00,155.00,2024-04-10,sprzedane
Legginsy sportowe,Nike,30.00,55.00,2024-04-12,sprzedane
Koszulka polo,Adidas,28.00,50.00,,niesprzedane
Bluzka koszulowa,H&M,18.00,38.00,2024-04-18,sprzedane
Spódnica midi,Mango,38.00,72.00,2024-04-22,sprzedane
Buty sportowe,Nike,100.00,170.00,2024-04-25,sprzedane
Marynarka w prążki,Reserved,65.00,120.00,,niesprzedane
Sweter oversize,Zara,28.00,55.00,2024-05-01,sprzedane
